Mods count: 209
 
                               jar name                                 | notes |             mod id             |             mod name             |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
elevatorid-1.20.1-1.9.1-forge.jar                                       |       | elevatorid                     | Elevator Mod                     | 1.20.1-1.9.1-forge           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 9117fbb20ce0b3b9abd25e19b3d5987a53be30c9 | 445403790      
embeddium-0.3.31+mc1.20.1.jar                                           |       | embeddium                      | Embeddium                        | 0.3.31+mc1.20.1              | embeddium.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | bb2fa8f3e493af16af9160d049f96c614a1faf2f | 4281946638     
emi-1.1.24+1.20.1+forge.jar                                             |       | emi                            | EMI                              | 1.1.24+1.20.1+forge          | emi-forge.mixins.json, emi.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                       | ea320200878e4a49196760234a22da763671520a | 573012167      
emiextraworkstations-2.1.0.jar                                          |       | emiextraworkstations           | Emi Extra Workstations           | 2.1.0                        | emiextraworkstations.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                             | b1401e006298ae3d2152c1ec677d437a6def40d3 | 2192813155     
enderchests-forge-1.20.1-1.4.jar                                        |       | enderchests                    | EnderChests                      | 1.20.1-1.4                   | mixins.shetiphiancore.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | bf9dc6fc028bfbfd0658659591329073f157aac6 | 239785972      
endertanks-forge-1.20.1-1.5.jar                                         |       | endertanks                     | EnderTanks                       | 1.20.1-1.5                   | mixins.endertanks.refmap.json, mixins.endertanks.json, mixins.shetiphiancore.json                                                                                                                                                                                                                                                                                                                                                                                                            | d7089e5621f8c5ee050402700aa2a3ccd195eaa7 | 4174025529     
entityculling-forge-1.10.2-mc1.20.1.jar                                 |       | entityculling                  | EntityCulling                    | 1.10.2                       | entityculling.mixins.json, entityculling.refmap.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                  | 67380b3468d18c137628be9434d51c39fd06d7b4 | 726567546      
    /META-INF/jars/TRansition-1.0.19-1.20.1-forge-SNAPSHOT.jar          |       | transition                     | TRansition                       | 1.0.19                       | transition.mixins.json, transition.refmap.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                        |                                          |                
    /META-INF/jars/TRender-1.0.13-1.20.1-forge-SNAPSHOT.jar             |       | trender                        | TRender                          | 1.0.13                       | trender.mixins.json, trender.refmap.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
exnihilosequentia-1.20.1-5.0.0-build.9.jar                              |       | exnihilosequentia              | Ex Nihilo: Sequentia             | 5.0.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | c27b7b5fa82076818dd8b4a1aafcd5b30b91195b | 62870358       
expandedae-1.4.1.b.jar                                                  |       | expandedae                     | Expanded AE                      | 1.4.1.b                      | mixins.expandedae.refmap.json, mixins.expandedae.json                                                                                                                                                                                                                                                                                                                                                                                                                                        | 9415e5223cf8cb073f602ca5751e5b819b8d5f74 | 4252751578     
    /META-INF/jarjar/mixinloadconditions-0.1.2.jar                      |       |                                |                                  |                              | mixinloadconditions.init.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                          |                
expandedgt-1.0.1.jar                                                    |       | expandedgt                     | Expanded GT                      | 1.0.1                        | mixins.expandedgt.refmap.json, mixins.expandedgt.json                                                                                                                                                                                                                                                                                                                                                                                                                                        | 8284af4e0260eea6cb3024f5664aa4ce5b4dd8a4 | 4135504063     
    /META-INF/jarjar/Registrate-MC1.20-1.3.11.jar                       |       |                                |                                  |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
ExtendedAE-1.20-1.4.15-forge.jar                                        |       | expatternprovider              | ExtendedAE                       | 1.20-1.4.15-forge            | mixins.epp.refmap.json, mixins.epp.json                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 27ba7cc836c6c8df914160ac9ed04538519feb21 | 3793884437     
ExtremeSoundMuffler-3.51-forge-1.20.1.jar                               |       | extremesoundmuffler            | Extreme Sound Muffler            | 3.51                         | extremesoundmuffler.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 025499c74e1e9305fa931b44c3832f43b1925ec7 | 2384074866     
